央视,#genre#
CCTV1-综合,http://111.43.126.240:9003/hls/13/index.m3u8
CCTV2-财经,http://111.43.126.240:9003/hls/14/index.m3u8
CCTV3-综艺,http://111.43.126.240:9003/hls/15/index.m3u8
CCTV4-中文国际,http://111.43.126.240:9003/hls/16/index.m3u8
CCTV5-体育,http://111.43.126.240:9003/hls/17/index.m3u8
CCTV5+-体育赛事,http://111.43.126.240:9003/hls/18/index.m3u8
CCTV6-电影,http://111.43.126.240:9003/hls/19/index.m3u8
CCTV7-国防军事,http://111.43.126.240:9003/hls/20/index.m3u8
CCTV8-电视剧,http://111.43.126.240:9003/hls/21/index.m3u8
CCTV9-纪录,http://111.43.126.240:9003/hls/22/index.m3u8
CCTV10-科教,http://111.43.126.240:9003/hls/23/index.m3u8
CCTV11-戏曲,http://111.43.126.240:9003/hls/24/index.m3u8
CCTV12-社会与法,http://111.43.126.240:9003/hls/25/index.m3u8
CCTV13-新闻,http://111.43.126.240:9003/hls/26/index.m3u8
CCTV14-少儿,http://111.43.126.240:9003/hls/27/index.m3u8
CCTV15-音乐,http://111.43.126.240:9003/hls/28/index.m3u8
CCTV16-奥林匹克,http://111.43.126.240:9003/hls/29/index.m3u8
CCTV17-农业农村,http://111.43.126.240:9003/hls/30/index.m3u8


卫视,#genre#

江苏卫视高清,http://111.43.126.240:9003/hls/38/index.m3u8
浙江卫视高清,http://111.43.126.240:9003/hls/40/index.m3u8
湖南卫视高清,http://111.43.126.240:9003/hls/37/index.m3u8
北京卫视高清,http://111.43.126.240:9003/hls/41/index.m3u8
东方卫视高清,http://111.43.126.240:9003/hls/39/index.m3u8
广东卫视高清,http://111.43.126.240:9003/hls/42/index.m3u8
安徽卫视高清,http://111.43.126.240:9003/hls/43/index.m3u8
河南卫视高清,http://111.43.126.240:9003/hls/44/index.m3u8
吉林卫视高清,http://111.43.126.240:9003/hls/45/index.m3u8
天津卫视高清,http://111.43.126.240:9003/hls/46/index.m3u8
东南卫视高清,http://111.43.126.240:9003/hls/47/index.m3u8
江西卫视高清,http://111.43.126.240:9003/hls/49/index.m3u8
四川卫视高清,http://111.43.126.240:9003/hls/50/index.m3u8
深圳卫视高清,http://111.43.126.240:9003/hls/51/index.m3u8
贵州卫视高清,http://111.43.126.240:9003/hls/52/index.m3u8
海南卫视高清,http://111.43.126.240:9003/hls/53/index.m3u8
湖北卫视高清,http://111.43.126.240:9003/hls/54/index.m3u8
重庆卫视高清,http://111.43.126.240:9003/hls/55/index.m3u8
河北卫视高清,http://111.43.126.240:9003/hls/56/index.m3u8
